Manufacturer Part Number	Digi-Key Part Number	Description	Manufacturer	Packaging	PnP Feeder	Unit Price
TLJA107M010R1400	478-5651-6-ND	CAP TANT 100UF 20% 10V 1206			8mm x 4mm	0.28912
TAJD107M010RNJ	478-3918-2-ND	CAP TANT 100UF 20% 10V 2917			8mm x 4mm	0.22208
F980J107MMAAXE	478-9836-1-ND	CAP TANT 100UF 20% 6.3V 0603			8mm x 2mm	0.244
TAJA106K016TNJ	478-10744-2-ND	CAP TANT 10UF 10% 16V 1206			8mm x 4mm	0.1008
T491C106K025AT	399-3734-2-ND	CAP TANT 10UF 10% 25V 2312			8mm x 4mm	0.18696
F971C156MAA	478-11277-1-ND	CAP TANT 15UF 20% 16V 1206	AVX Corporation	Cut Tape (CT)	8mm x 4mm	
TAJC226K016RNJ	478-3899-2-ND	CAP TANT 22UF 10% 16V 2312			8mm x 4mm	0.1642
T491D335M050AT	399-3785-2-ND	CAP TANT 3.3UF 20% 50V 2917			8mm x 4mm	0.5796
TAJA475K016RNJ	478-3868-2-ND	CAP TANT 4.7UF 10% 16V 1206			8mm x 4mm	0.08115
CSTNE12M0G550000R0	490-17943-1-ND	CERAMIC RES 12.0000MHZ 33PF SMD			12mm x 4mm	0.1598
ACM2012-121-2P-T002	445-2208-1-ND	CMC 370MA 2LN 120 OHM SMD			8mm x 4mm	0.1904
40-9709HM	367-1138-ND	CONN BACKSHELL 9POS 180DEG SHLD			Hand	1.76752
1050281001	WM6827CT-ND	CONN CAM SOCKET 32POS GOLD			Hand	1.84
LD09P13A4GX00LF	609-5183-ND	CONN D-SUB PLUG 9POS R/A SLDR			Hand	0.6794
A-DS 09 LL/Z	AE10972-ND	CONN D-SUB PLUG 9POS SLDR CUP			Hand	0.336
182-009-213R561	182-109FE-ND	CONN D-SUB RCPT 9POS R/A SLDR			Hand	1.848
A-DF 09 LL/Z	AE11063-ND	CONN D-SUB RCPT 9POS SLDR CUP			Hand	0.336
MDT420M01001	MDT420M01001CT-ND	CONN FEMALE 67POS 0.020 GOLD			Hand	1.595
0525592033	WM10987DKR-ND	CONN FFC VERT 20POS 0.50MM SMD			Hand	2.1652
0526102033	WM11012CT-ND	CONN FPC VERT 20POS 1.00MM SMD			Hand	2.2344
PPPC102LJBN-RC	S5563-ND	CONN HDR 20POS 0.1 GOLD PCB R/A			Hand	1.345
PPTC102LFBN-RC	S7078-ND	CONN HDR 20POS 0.1 TIN PCB			Hand	1.145
PPPC061LFBN-RC	S7039-ND	CONN HDR 6POS 0.1 GOLD PCB			Hand	0.5
PH2RA-10-UA	2057-PH2RA-10-UA-ND	CONN HEADER R/A 10POS 2.54MM	Adam Tech	Bag	Hand	
PH2RA-20-UA	2057-PH2RA-20-UA-ND	"CONN HEADER R/A 20POS 2.54MM, RA"	Adam Tech	Bulk	Hand	
61304021021	732-5363-ND	CONN HEADER R/A 40POS 2.54MM	Würth Elektronik	Bag	Hand	
XG8W-4044	Z12470-ND	CONN HEADER R/A 40POS 2.54MM			Hand	2.0394
FTSH-110-01-L-DV-K-P-TR	SAM13177DKR-ND	CONN HEADER SMD 20POS 1.27MM			Hand	4.33
GRPB102VWQS-RC	S9012E-10-ND	CONN HEADER SMD 20POS 1.27MM			Hand	1.5177
67997-410HLF	609-3243-ND	CONN HEADER VERT 10POS 2.54MM			Hand	0.1864
67996-420HLF	609-3221-ND	"CONN HEADER VERT 20POS 2.54MM, Straight"	Amphenol ICC (FCI)	Bag	Hand	
0442060007	WM9738-ND	CONN HEADER VERT 24POS 4.2MM			Hand	0.7067
